strategy_name,initial_burn_rate,team_size_total,run,survived,survival_time,market_fit,market_share,peak_market_share,growth_rate,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,revenue,cash_runway,runway_used,runway_efficiency,funding_rounds,pivots_used,time_to_profitability,burn_multiple
Aggressive,15.0,28,8,True,200,100.0,10.619298831671847,12.117946872623255,0.05673905692271282,119.83093874137232,20.283370030628653,0.0,64.00709072940619,99.99999999999999,184.22996083565045,22653.65695049839,100.06358327987807,0.10619298831671847,0,0,0,8.651218983499463
Aggressive,15.0,28,9,True,200,100.0,10.194310976622178,12.279692958882814,0.051875204924947994,118.10850719413801,20.583421041082747,0.0,62.20984116769674,99.99999999999999,191.93339715786783,20550.519247493616,100.06358327987807,0.10194310976622178,0,0,0,7.950173082497876
Aggressive,15.0,28,10,True,200,100.0,9.726031560499866,11.915497735201198,0.04240800814076975,116.26232758590788,21.170664092882838,0.0,60.33480094962685,99.99999999999999,165.19496540235735,21565.99209976275,100.06358327987807,0.09726031560499866,0,0,0,8.14866403325425
Aggressive,15.0,28,11,True,200,100.0,11.674265072007117,12.251947871521585,0.059623657328312894,119.79372356691648,20.30231753055327,0.0,63.813501647350805,99.99999999999999,198.39377587596792,21975.2535937293,100.06358327987807,0.11674265072007117,0,0,0,8.391751197909764
Aggressive,15.0,28,12,True,200,100.0,11.57748706261111,12.836000958534166,0.05298774561924262,115.84930563677045,21.026934130103708,0.0,59.85339600603474,99.99999999999999,196.09997458835934,22625.8941000309,100.06358327987807,0.11577487062611111,0,0,0,8.441964700010297
Aggressive,15.0,28,13,True,200,100.0,10.539087971230899,10.969296791016331,0.05194346515409933,116.73149949831311,20.84415960794581,0.0,60.78897024711333,99.99999999999999,199.4788531395365,21623.29681142389,100.06358327987807,0.10539087971230898,0,0,0,8.247765603807961
Aggressive,15.0,28,14,True,200,100.0,11.934741885796669,12.1286227499259,0.05752832297873737,116.7840468193736,20.875367635494463,0.0,60.51062831071391,99.99999999999999,235.77855073595288,21179.19132531608,100.06358327987807,0.11934741885796668,0,0,0,8.193063775105362
Aggressive,15.0,28,15,True,200,100.0,10.673611124974615,12.053486332911097,0.04853877582757174,116.5599337640633,20.925545715774582,0.0,60.541188397742935,99.99999999999999,182.81625012430635,20259.952067319457,100.06358327987807,0.10673611124974615,0,0,0,7.753317355773146
Aggressive,15.0,28,16,True,200,100.0,10.481021153276316,12.66698270528891,0.05546962859661883,118.3455539358016,20.62931374078863,0.0,62.30143768591569,99.99999999999999,181.5723706222491,23207.763036138913,100.06358327987807,0.10481021153276317,0,0,0,8.902587678712973
Aggressive,15.0,28,17,True,200,100.0,11.484931111133408,12.294645409650206,0.058438823949262364,116.50784862492551,20.87769685386792,0.0,60.47437299620084,99.99999999999999,206.52785861104178,20517.117988173002,100.06358327987807,0.11484931111133408,0,0,0,8.005705996057664
