config_name,run,focus_strategy,survived,game_over_step,final_market_fit,final_market_share,peak_market_fit,peak_market_share,peak_revenue,pmf_achieved,time_to_pmf,final_technical_debt,final_bug_count,final_code_quality,final_feature_completeness,avg_technical_debt,avg_bug_count,avg_code_quality,avg_team_morale,avg_customer_satisfaction,final_cash_runway,avg_revenue,growth_rate,quality_speed_balance,sustainability_score,technical_health,business_performance
Always Sales,4,sales,True,,100.0,6.938097269763329,100.0,7.862075954245723,125.57244513791589,True,30.0,22.62714906931255,0.0,46.67984606086693,92.62566495846336,22.689126528171354,3.486738301250552,58.60876351600311,84.08480497421617,93.723098686199,10715.80678468781,75.57903392343906,0.03854498483201849,0.3031538386030106,75.3637297182496,7259.669587049914,6314.483038169829
Always Sales,5,sales,True,,100.0,6.980083978967157,100.0,8.095690659758358,134.53436707676164,True,31.0,22.477960012803088,0.0,47.52924107443278,92.98048411097018,22.382480813810563,3.565960813522991,59.153104834899224,83.65326877801104,93.40905663524812,11508.590846132318,74.54295423066155,0.038778244327595315,0.3090835698316606,75.49210385718655,7285.573963785683,6323.827626390334
Always Sales,6,sales,True,,100.0,5.597735642988183,100.0,6.873971089283691,120.57503897499448,True,30.0,22.715434767096834,0.0,46.435659430469904,92.44550439156939,22.774838060433616,3.5017105059184415,58.4848308195372,83.16879307388464,93.7106661733518,9872.382974389218,70.46191487194608,0.031098531349934348,0.3013621227388481,75.14751884078731,7250.464691839776,6274.958843571348
Always Sales,7,sales,True,,100.0,7.732492573503768,100.0,8.429225096879582,136.54310545079812,True,30.0,22.740593109881264,0.0,46.64211392311286,92.46492354853878,22.714008452574202,3.496100373120117,58.71062788782788,86.57581125949515,93.70890198879529,11330.47831404222,78.2523915702111,0.04295829207502093,0.30272430508647136,75.4924392025501,7262.093121913009,6337.169003875184
Always Sales,8,sales,True,,100.0,8.064854202271654,100.0,8.638186450756088,141.14855757731812,True,29.0,22.090133167903407,0.0,49.39446593829596,94.59476424963647,21.728522152438348,3.3478638613259464,60.210907116559746,85.58859127167321,93.77193555390768,11384.183969263064,78.92091984631531,0.044804745568175854,0.3231415663573415,75.75927335763518,7368.949354216552,6345.527458030244
Always Sales,9,sales,True,,100.0,6.613772488258289,100.0,7.770409849663872,132.5607816180682,True,27.0,22.647920993933568,0.0,46.69676006086666,92.84157094226784,22.69139866772832,3.371495999558887,58.638791135125395,87.05982605449881,94.07538190691841,10174.882360638907,72.87441180319456,0.03674318049032383,0.3035111230831567,75.34990064020158,7270.394692071284,6310.816393986554
Always Sales,10,sales,True,,100.0,7.7274874827115,100.0,8.366122244344595,137.16388748443404,True,27.0,22.705116093058795,0.0,46.47283530695446,92.68441061079709,22.76927331083435,3.3844450564233366,58.505192974638504,85.73944711068128,94.06147107535746,10546.663326438647,75.73331663219322,0.04293048601506389,0.3018765211559683,75.4490033950647,7261.24606507106,6334.644889773784
Always Sales,11,sales,True,,100.0,6.864241284869838,100.0,8.340368272183541,134.57806666034662,True,26.0,22.08088827009397,0.0,49.45713701827758,95.02641822738768,21.714411805638328,3.159455300704542,60.21911073046538,90.28540680619993,94.32541131067788,11112.612611871727,79.56306305935864,0.03813467380483243,0.3240605845522106,75.70094026400652,7385.472074295894,6333.6147308873415
Always Sales,12,sales,True,,100.0,7.692108176993321,100.0,8.310688600763957,135.29760070960793,True,28.0,22.298676896854126,0.0,48.22068333523679,93.84462137684073,22.140137771610462,3.374362559999258,59.4730703216855,86.46639872134932,93.86394699252176,10960.996959949272,76.80498479974636,0.04273393431662956,0.314593046775985,75.58309826840562,7322.821110861116,6332.427544030558
Always Sales,13,sales,True,,100.0,7.952522210430298,100.0,7.952522210430298,126.6986453396836,True,31.0,23.206210824104428,0.0,44.54572669294578,90.93460479777139,23.44572664457305,3.6511614333501203,57.453342357880736,82.45471176306957,93.52977311195201,10943.775741031139,73.3188787051557,0.044180678946834986,0.28742040026755833,75.20850579576816,7173.269808975996,6318.1008884172115
