config_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,total_headcount,eng_ratio,sales_ratio,mkt_ratio
Balanced,6,True,,100.0,13.305040324850781,110.12106147386272,22.271922553255347,0.0,53.105289708392526,99.99999999999999,100.0,0.0,25804.269242654325,243.36490241371402,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,7,True,,100.0,13.132085726523451,116.97526939553482,20.95033461122782,0.0,60.79714228848198,99.99999999999999,100.0,0.0,26532.061509498115,229.17574703953363,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,8,True,,100.0,10.241978016415445,118.19792742247772,20.729846365402693,0.0,61.72352268808075,99.99999999999999,100.0,0.0,26181.49650747734,190.69975864286923,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,9,True,,100.0,14.336925571364544,118.68344923392755,20.577317842055248,0.0,62.39022438477729,99.99999999999999,100.0,0.0,29134.24015106186,256.4138560711756,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,10,True,,100.0,13.63753450502333,116.96488001707108,21.110517228600532,0.0,60.647820644761886,99.99999999999999,100.0,0.0,27466.173002163083,246.1071658372417,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,11,True,,100.0,12.905635969694018,118.77102893800719,20.924764377829334,0.0,62.542388332111685,99.99999999999999,100.0,0.0,29168.039586129336,225.53469098732603,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,12,True,,100.0,13.860475963061454,120.24336018480977,20.239722335094825,0.0,64.16532299353516,99.99999999999999,100.0,0.0,25873.226427473623,246.11232604286766,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,13,True,,100.0,11.018541776660303,109.87737632955577,22.35024568569781,0.0,52.709131418904406,99.99999999999999,100.0,0.0,23728.71519498978,183.67349071665907,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,14,True,,100.0,12.856923285511495,119.29989277905887,20.544012368467108,0.0,63.05288230973905,99.99999999999999,100.0,0.0,26467.318696837443,257.91137483255375,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,15,True,,100.0,11.920984202720307,120.57450153542766,20.27312804743019,0.0,64.50726172921486,99.99999999999999,100.0,0.0,26104.5000785622,227.44646175935432,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,16,True,,100.0,11.337134424474499,119.22137313885524,20.45475175795252,0.0,62.93282092983197,99.99999999999999,100.0,0.0,29028.38337024567,218.01092516196732,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,17,True,,100.0,13.30339343558466,118.41639125257964,20.80201594159507,0.0,62.19137161814077,99.99999999999999,100.0,0.0,26721.95040080241,247.42687306984243,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,18,True,,100.0,11.30342628526535,117.29343496362699,20.859807180539494,0.0,61.04186294158102,99.99999999999999,100.0,0.0,25215.636748668705,190.31355278560144,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,19,True,,100.0,13.085928410990913,119.56757636575627,20.435536362741693,0.0,63.43931439768182,99.99999999999999,100.0,0.0,25218.802522120317,225.6669563479944,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,20,True,,100.0,12.944435093787067,117.02644286759256,20.927939402223295,0.0,60.62522248178865,99.99999999999999,100.0,0.0,29314.846421120423,249.09882240794622,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Marketing-Heavy,1,True,,100.0,6.326604901120578,117.88439450081383,20.754090841534676,0.0,61.26288906389952,99.99999999999999,100.0,0.0,13092.099380037771,94.92734854720794,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,2,True,,100.0,8.277671776491273,119.50872340990819,20.455255489276556,0.0,62.95325973345644,99.99999999999999,100.0,0.0,12636.105279815303,133.83819710040132,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,3,True,,100.0,8.599606365688238,118.60441343804011,20.602714518383625,0.0,62.096268340086674,99.99999999999999,100.0,0.0,11565.43977974925,150.93641600145966,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
