strategy_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,sustainability_index,velocity,debt_accumulation_rate
Balanced Pragmatic,18,True,,100.0,7.18300499694596,128.06689306330543,20.837590075495726,0.0,54.535039113589725,99.99999999997205,100.0,0.0,11370.820161706593,115.18784199352358,0,0,0.7556273862278716,0.6403344653165272,-0.014038098075158831
Balanced Pragmatic,19,True,,100.0,8.63298831801729,136.22502264992445,19.36178028238794,0.0,62.318492774650025,99.99999999985201,100.0,0.0,13832.379810573282,142.4266063435443,0,0,0.7911886302514363,0.6811251132496223,0.0011406212596486735
Balanced Pragmatic,20,True,,100.0,7.306363585526341,134.46359946576146,19.55143025230188,0.0,60.5351659473023,99.9999999998958,100.0,0.0,12445.450356636004,141.79080124324494,0,0,0.7834863730323035,0.6723179973288073,-0.00625230412116362
Quality First,1,True,,100.0,6.172532451587797,139.67315497441163,0.0,0.8023465930955074,100.0,99.99999999996116,100.0,0.0,15554.128395155147,131.30197977494814,0,0,0.9975929602207134,0.6983657748720582,-0.05494039742962556
Quality First,2,True,,100.0,6.5206241541381,140.07861318805257,0.0,0.8009216975846914,100.0,99.99999999996304,100.0,0.0,14396.847261807648,140.08590253992372,0,0,0.9975972349072458,0.7003930659402628,-0.05250050838248457
Quality First,3,True,,100.0,7.467274734827685,140.13645112161328,0.0,0.8007188563743894,100.0,99.99999999975643,100.0,0.0,16102.987743219368,161.84306665214797,0,0,0.9975978434308769,0.7006822556080664,-0.051865055078071695
Quality First,4,True,,100.0,6.811318382621839,140.00393561692948,0.0,0.8011837504859933,100.0,99.99999999984078,100.0,0.0,14376.55136593774,154.358565431858,0,0,0.997596448748542,0.7000196780846474,-0.05223709256401286
Quality First,5,True,,100.0,5.839755984178089,140.10285347554458,0.0,0.8008366727237729,100.0,99.99999999996358,100.0,0.0,15304.068378713037,147.36973979375358,0,0,0.9975974899818286,0.7005142673777229,-0.052991530280023576
Quality First,6,True,,100.0,8.149277666450482,140.0259561358972,0.0,0.8011562451813895,100.0,99.99999999996837,100.0,0.0,15711.568151597736,178.32612692348204,0,0,0.9975965312644558,0.700129780679486,-0.054529900843299166
Quality First,7,True,,100.0,5.128965921224879,139.9889190161129,0.0,0.8012366503234541,100.0,99.99999999987197,100.0,0.0,15222.278805741946,145.1171138810533,0,0,0.9975962900490296,0.6999445950805645,-0.05452640005875591
Quality First,8,True,,100.0,5.2081940736282695,139.86158666527072,0.0,0.8016891923177604,100.0,99.99999999984342,100.0,0.0,14505.60975449064,86.32875306924772,0,0,0.9975949324230468,0.6993079333263537,-0.05501500524287598
Quality First,9,True,,100.0,7.51965885492411,140.20005130114015,0.0,0.8004959267358706,100.0,99.99999999993322,100.0,0.0,16028.245871425534,174.3567165700697,0,0,0.9975985122197923,0.7010002565057007,-0.05313333765251624
Quality First,10,True,,100.0,4.966959137776996,139.65590390805627,0.0,0.8024580634445582,100.0,99.9999999995998,100.0,0.0,15561.003050169833,121.66351889523013,0,0,0.9975926258096663,0.6982795195402813,-0.05725448583820708
Quality First,11,True,,100.0,6.615677448613867,139.51435609959063,0.0,0.8029060583347031,100.0,99.99999999996909,100.0,0.0,15488.170833109789,140.9640406243469,0,0,0.9975912818249958,0.6975717804979531,-0.058592815910693624
Quality First,12,True,,100.0,6.775720508129711,139.5784406240407,0.0,0.8029568161153218,100.0,99.99999999994225,100.0,0.0,16109.183309944143,145.04744394061984,0,0,0.997591129551654,0.6978922031202035,-0.060281686452971474
Quality First,13,True,,100.0,5.717845051102443,139.95511766542796,0.0,0.8013551693449715,100.0,99.99999999994911,100.0,0.0,15837.833297316472,121.01413165171044,0,0,0.997595934491965,0.6997755883271398,-0.056860751418831026
Quality First,14,True,,100.0,6.216945786885826,140.06651681860612,0.0,0.8009641334624914,100.0,99.9999999991592,100.0,0.0,15702.716600807904,132.1757250668729,0,0,0.9975971075996125,0.7003325840930306,-0.052114400823203594
Quality First,15,True,,100.0,5.559260528938539,139.6773654527342,0.0,0.8023317698841633,100.0,99.99999999996467,100.0,0.0,15002.819648496145,126.93678752302633,0,0,0.9975930046903474,0.698386827263671,-0.05866315240790802
Quality First,16,True,,100.0,5.944013892937322,139.80186434808903,0.0,0.8018937155919632,100.0,99.99999999994485,100.0,0.0,14472.068622834806,127.41128700034662,0,0,0.9975943188532241,0.6990093217404452,-0.057875495616685264
Quality First,17,True,,100.0,7.406851209824151,139.99872478162774,0.0,0.8014631121215223,100.0,99.99999999988587,100.0,0.0,14916.44558184788,158.72634245080454,0,0,0.9975956106636354,0.6999936239081387,-0.05174663934734667
Quality First,18,True,,100.0,6.289738578177158,139.745914900223,0.0,0.8020905159691307,100.0,99.99999999995235,100.0,0.0,16471.6548140333,136.8263934123331,0,0,0.9975937284520926,0.698729574501115,-0.0570380777159253
Quality First,19,True,,100.0,7.646791276933126,139.77787299976094,0.0,0.8019780924022174,100.0,99.99999999991178,100.0,0.0,15062.287674607383,165.7121299411402,0,0,0.9975940657227933,0.6988893649988047,-0.05543674081255315
Quality First,20,True,,100.0,6.7488309831363695,139.95085038903565,0.0,0.8013701388318979,100.0,99.99999999991695,100.0,0.0,15261.630471263687,148.3993110943896,0,0,0.9975958895835043,0.6997542519451783,-0.055201580467259106
Extreme Quality,1,True,,100.0,7.111599155515244,96.19704349490966,0.0,0.336422072090081,100.0,99.99999999997594,100.0,0.0,13391.932900070316,141.70111730590202,0,0,0.9989907337837297,0.4809852174745483,-0.02052974156426621
Extreme Quality,2,True,,100.0,5.4052511127013965,96.2412511324236,0.0,0.33634425997209083,100.0,99.99999999996253,100.0,0.0,12958.773153542623,113.97933662030529,0,0,0.9989909672200836,0.481206255662118,-0.0202895736061394
Extreme Quality,3,True,,100.0,5.8406922706414095,96.2297422053934,0.0,0.33636450578915655,100.0,99.99999999990676,100.0,0.0,13028.839235557563,122.50440071094387,0,0,0.9989909064826326,0.48114871102696705,-0.020351942148852976
