config_name,num_engineers,num_sales,num_marketing,num_hr,num_mgmt,total_headcount,run_id,survived,survival_duration,final_market_fit,final_market_share,final_revenue,final_cash_runway,final_tech_debt,final_bugs,avg_market_fit,avg_revenue,avg_team_morale,max_market_share,pivots_used,funding_rounds,market_fit_50_step,market_share_5_step,revenue_per_employee,market_share_per_employee
Small Sales Team,10,3,3,1,1,18,9,True,200,100.0,4.7795475126042035,72.69806759156624,6946.371805633982,22.21446497322938,0.0,88.04676332792609,48.53185902816991,81.29271727291489,5.664874159106375,0,1,0,149,4.038781532864792,0.2655304173669002
Small Sales Team,10,3,3,1,1,18,10,False,25,61.50968179653966,0.0,5.134954385398738,-0.633085340489024,24.399383370174483,10.253229675090646,56.24957030856889,5.449278410964491,73.32355413802945,0.0,0,0,0,200,0.28527524363326323,0.0
Small Sales Team,10,3,3,1,1,18,11,True,200,100.0,4.343708682748552,45.91657100650664,4304.009187433026,23.475018374948913,0.0,88.32923769968602,42.02004593716513,86.11448358156133,5.589219843536055,0,1,0,158,2.5509206114725913,0.24131714904158624
Small Sales Team,10,3,3,1,1,18,12,True,200,100.0,5.81002402374936,90.3407610878472,6371.352457931358,21.147433073260128,0.0,88.97261151940992,52.8567622896568,89.3965784299099,5.81002402374936,0,0,0,135,5.018931171547067,0.32277911243052
Small Sales Team,10,3,3,1,1,18,13,True,200,100.0,3.6873725858048223,49.09819749368147,4685.801830766211,22.5379346441018,0.0,88.16838751213905,44.42900915383106,83.5992410850938,5.487165009971783,0,0,0,173,2.7276776385378594,0.20485403254471235
Small Sales Team,10,3,3,1,1,18,14,True,200,100.0,5.831013515173305,90.06252199350449,5591.156046178671,21.262890179768345,0.0,88.4809748216845,47.45578023089336,86.9388245520354,5.831013515173305,0,1,0,162,5.003473444083583,0.32394519528740584
Large Sales Team,10,8,3,1,1,23,0,True,200,100.0,10.432280964741398,182.50119951991334,19374.039587049734,21.538286464948037,0.0,93.08579819154197,115.87019793524865,81.0188930683092,11.91454534439611,0,0,0,70,7.934834761735362,0.453577433249626
Large Sales Team,10,8,3,1,1,23,1,True,200,100.0,10.132654208150543,179.79273766910754,21746.736515577806,20.69744086192217,0.0,93.31780614688302,124.73368257788897,82.02039738375555,11.967120844560204,0,0,0,72,7.817075550830762,0.4405501829630671
Large Sales Team,10,8,3,1,1,23,2,True,200,100.0,9.51526337260975,179.70362160252859,20032.330798881394,20.954386453769335,0.0,93.55239240118351,121.56165399440695,85.21627521452385,11.027130744234842,0,0,0,71,7.813200939240374,0.41370710315694564
Large Sales Team,10,8,3,1,1,23,3,True,200,100.0,9.243135428479578,177.49565848168407,22730.012619181816,20.621734735498,0.0,94.0650361347312,136.65006309590908,86.29505655324905,11.779446161890796,0,0,0,62,7.717202542681917,0.4018754534121555
Large Sales Team,10,8,3,1,1,23,4,True,200,100.0,13.591791485812303,242.71549336500158,21472.48678619903,20.941397823110552,0.0,93.41910733190895,128.36243393099517,85.45039980984895,13.591791485812303,0,0,0,69,10.552847537608764,0.5909474559048827
Large Sales Team,10,8,3,1,1,23,5,True,200,100.0,11.008059682187492,219.66919334210894,20872.84297382176,20.782056939253106,0.0,93.42642835051367,127.3642148691088,87.29596547846599,11.911533573329592,0,0,0,63,9.550834493135172,0.47861129052989093
Large Sales Team,10,8,3,1,1,23,6,True,200,100.0,11.45626860281761,201.46433718913357,21011.546305473046,20.906134447202312,0.0,93.22941074870505,126.05773152736523,84.10600856984996,12.691373469176723,0,0,0,67,8.7593190082232,0.4980986349051135
Large Sales Team,10,8,3,1,1,23,7,True,200,100.0,9.564848321584646,173.22503644851838,21555.812340752982,20.80693031312003,0.0,93.77100049637569,129.77906170376488,87.9407382214941,10.95761688364129,0,0,0,63,7.531523323848625,0.41586297050368026
Large Sales Team,10,8,3,1,1,23,8,True,200,100.0,10.415890459516735,211.03162313188432,20830.659811050697,20.684103118392905,0.0,93.32217218781406,127.15329905525351,83.4066726792213,11.535404206538177,0,0,0,66,9.17528796225584,0.45286480258768413
Large Sales Team,10,8,3,1,1,23,9,True,200,100.0,10.26094416581809,184.46010354698862,21093.15895436401,21.165371064415297,0.0,93.54739811589798,126.46579477182007,86.1086435967386,11.726148006411858,0,0,0,74,8.020004502042983,0.4461280072094822
Large Sales Team,10,8,3,1,1,23,10,True,200,100.0,10.623744221086348,171.3875949131814,20372.93295656526,20.52847620010808,0.0,93.33019717449437,123.86466478282637,85.81912887351262,12.619803626796237,0,0,0,71,7.45163456144267,0.46190192265592817
Large Sales Team,10,8,3,1,1,23,11,True,200,100.0,8.475167425907046,140.11507012320047,20357.065267215858,21.92380876220727,0.0,93.00036419325914,120.18532633607927,81.03037241753071,12.222637141997392,0,0,0,70,6.091959570573933,0.36848554025682806
Large Sales Team,10,8,3,1,1,23,12,True,200,100.0,10.978786778290303,186.96325568977153,22218.28473165227,20.661002626376423,0.0,93.20420921872487,129.89142365826137,82.5063033697131,10.978786778290303,0,0,0,69,8.12883720390311,0.4773385555778393
Large Sales Team,10,8,3,1,1,23,13,True,200,100.0,8.998698911741574,165.2737062227941,18897.57259073407,21.03046225745922,0.0,93.13992217388976,115.48786295367037,83.43585980026575,12.072931265930103,0,0,0,72,7.185813314034526,0.3912477787713728
Large Sales Team,10,8,3,1,1,23,14,True,200,100.0,9.847168307112355,163.18896441148553,18529.87491389721,21.01696852731887,0.0,92.6529770183529,113.64937456948599,82.99581233336878,12.113977518598876,0,0,0,71,7.0951723657167625,0.4281377524831459
Small Mkt Team,10,5,1,1,1,18,0,True,200,100.0,5.172101589456484,106.4005597872177,9335.72397368659,21.970202504830397,0.0,86.83911502329532,64.67861986843296,79.70514613634364,5.787418837375457,0,0,0,160,5.911142210400984,0.2873389771920269
Small Mkt Team,10,5,1,1,1,18,1,True,200,100.0,3.0776684273150945,66.79091206839058,10270.584684822617,21.677453380312517,0.0,88.30925354336159,74.3529234241131,85.73175906513823,5.752020432320484,0,0,0,126,3.710606226021699,0.17098157929528301
Small Mkt Team,10,5,1,1,1,18,2,True,200,100.0,5.339831463330768,118.11832986399814,11313.094798450318,21.270925189588088,0.0,87.54941395099713,74.5654739922516,82.63184310040432,5.747271912169934,0,0,0,125,6.562129436888785,0.296657303518376
Small Mkt Team,10,5,1,1,1,18,3,True,200,100.0,4.956795245707604,109.9936872784866,11018.094901952183,21.894170438600618,0.0,87.62407755742522,73.09047450976091,80.15750951677958,6.270744078190254,0,0,0,133,6.1107604043603665,0.27537751365042246
Small Mkt Team,10,5,1,1,1,18,4,True,200,100.0,3.4083070247285194,71.0468727401352,9142.535483190006,21.705148147441953,0.0,87.38590034623608,66.71267741595004,81.92216448990492,5.850853913046937,0,0,0,135,3.9470484855630668,0.1893503902626955
Small Mkt Team,10,5,1,1,1,18,5,True,200,100.0,4.7943972489124596,103.67096058121672,9905.713393455817,21.732398415723274,0.0,87.50219254853552,70.52856696727909,82.84335154477347,5.5766562587765165,0,0,0,164,5.759497810067596,0.26635540271735886
Small Mkt Team,10,5,1,1,1,18,6,True,200,100.0,5.0356983223507985,108.43413891087336,9949.463296530173,21.693854801245383,0.0,87.37706095451566,72.74731648265087,82.08221363757266,5.608574933118402,0,0,0,135,6.024118828381853,0.2797610179083777
Small Mkt Team,10,5,1,1,1,18,7,True,200,100.0,4.453656838272023,103.64005421166262,10643.40394576483,22.263728133511588,0.0,87.68526577264575,69.21701972882416,78.04575972096423,5.890122618095869,0,0,0,125,5.757780789536812,0.24742537990400126
Small Mkt Team,10,5,1,1,1,18,8,True,200,100.0,4.865949360809379,115.50298994841339,10522.320708632398,21.220665536515362,0.0,87.50774448815115,74.61160354316198,83.79680601833304,5.94760031995982,0,0,0,137,6.416832774911855,0.2703305200449655
Small Mkt Team,10,5,1,1,1,18,9,True,200,100.0,5.408039323045519,111.18733215436814,10702.193343139068,21.129359511399425,0.0,87.60088824734002,76.51096671569532,85.67810370730147,5.801806677565106,0,0,0,146,6.177074008576008,0.3004466290580844
Small Mkt Team,10,5,1,1,1,18,10,True,200,100.0,5.035175034627793,117.21075154887994,10142.486711708885,21.835267513215356,0.0,86.55640596194854,69.71243355854443,80.1942831931984,5.595702625205574,0,0,0,128,6.511708419382219,0.2797319463682107
Small Mkt Team,10,5,1,1,1,18,11,True,200,100.0,6.189739507821522,141.19838474486914,10457.657703056506,22.270821547619338,0.0,86.96024414213902,73.48828851528255,81.09889642200669,6.189739507821522,0,0,0,138,7.844354708048286,0.34387441710119565
Small Mkt Team,10,5,1,1,1,18,12,True,200,100.0,5.332896004576833,124.7565549343039,9202.957172703156,22.170119586349614,0.0,86.40919588600896,68.21478586351579,81.63837444082688,5.751077292378767,0,0,0,138,6.930919718572439,0.2962720002542685
Small Mkt Team,10,5,1,1,1,18,13,True,200,100.0,4.83664834466897,111.81001589074012,10288.758446533348,21.230674983127756,0.0,87.88001931239025,73.44379223266674,84.82421005915745,5.3915315720149275,0,0,0,118,6.211667549485562,0.2687026858149428
Small Mkt Team,10,5,1,1,1,18,14,True,200,100.0,4.290978448078813,95.99056115355957,9009.235078659183,21.558543971254757,0.0,87.67017326857902,68.04617539329591,82.99228058697327,5.52604583087184,0,0,0,134,5.332808952975531,0.23838769155993406
Large Mkt Team,10,5,6,1,1,23,0,True,200,100.0,5.7712991908533455,95.83086356642114,11724.204955494983,20.69490713284983,0.0,93.42205029146855,80.6210247774749,86.73216784549471,7.883966960283134,0,0,0,86,4.166559285496572,0.2509260517762324
Large Mkt Team,10,5,6,1,1,23,1,True,200,100.0,8.52011959412913,141.12617778721363,13206.939450112537,21.651266402569327,0.0,93.2943032360596,84.0346972505627,85.16241118794427,8.777580572987821,0,0,0,101,6.135920773357115,0.3704399823534404
